Âµ [1/h]	RANDOMFIXED_0	SINGLE_COFACTOR	FLEXIBLE	WILDTYPE	RANDOMS_0
0,868	12,327	5,182	12,327	11,036	8,827
0,818	18,565	6,648	18,565	18,565	18,565
0,768	29,014	13,525	29,014	22,926	29,014
0,718	29,014	13,525	29,014	22,926	29,014
0,668	29,014	13,525	29,014	22,926	29,014
0,618	29,014	13,525	29,014	22,926	29,014
0,568	29,014	13,525	29,014	22,926	29,014
0,518	29,014	13,525	29,014	22,926	29,014
0,468	29,014	13,525	29,014	22,926	29,014
0,418	29,014	13,525	29,014	22,926	29,014
0,368	29,014	13,525	29,014	22,926	29,014
0,318	29,014	13,525	29,014	22,926	29,014
0,268	29,014	13,525	29,014	22,926	29,014
0,218	29,014	13,525	29,014	22,926	29,014
0,168	29,014	13,525	29,014	22,926	29,014
0,118	29,014	13,525	29,014	22,926	29,014
0,068	29,014	13,525	29,014	22,926	29,014
0,05	29,014	13,525	29,014	22,926	29,014
0,03	29,014	13,525	29,014	22,926	29,014
